p,corr_spearman_mean,model
0.1,0.8608149664901134,TinyBERT
0.2,0.686778895193768,TinyBERT
0.3,0.5109785491390189,TinyBERT
0.4,0.5599702302246333,TinyBERT
0.5,0.3977211765861472,TinyBERT
0.1,0.6632766397932739,DistilBERT
0.2,0.6500691353920317,DistilBERT
0.3,0.6904661161021239,DistilBERT
0.4,0.21824494329386698,DistilBERT
0.5,0.4059834226174735,DistilBERT
0.1,0.758241467634814,ALBERT
0.2,0.36380327769760257,ALBERT
0.3,0.35726374963165575,ALBERT
0.4,0.3111017083619823,ALBERT
0.5,0.2810977037982909,ALBERT
