p,comp_mean,model
0.1,0.9088130742311478,TinyBERT
0.2,0.9088130742311478,TinyBERT
0.3,0.8936102986335754,TinyBERT
0.4,0.9680676870048046,TinyBERT
0.5,0.9594389759004116,TinyBERT
0.1,0.9968150671338663,DistilBERT
0.2,0.9968150671338663,DistilBERT
0.3,0.9960070718079805,DistilBERT
0.4,0.9955785302445292,DistilBERT
0.5,0.009346604347229004,DistilBERT
0.1,0.8632988184690475,ALBERT
0.2,0.8623862117528915,ALBERT
0.3,0.8436946123838425,ALBERT
0.4,0.8743526637554169,ALBERT
0.5,0.8742325305938721,ALBERT
