p,suff_mean,model
0.1,0.019757986068725586,TinyBERT
0.2,0.019757986068725586,TinyBERT
0.3,0.011361956596374512,TinyBERT
0.4,0.0073296427726745605,TinyBERT
0.5,0.0036346912384033203,TinyBERT
0.1,0.10677444934844971,DistilBERT
0.2,0.10677444934844971,DistilBERT
0.3,0.08251744508743286,DistilBERT
0.4,0.019214868545532227,DistilBERT
0.5,0.0014255642890930176,DistilBERT
0.1,0.5128987431526184,ALBERT
0.2,0.5334774553775787,ALBERT
0.3,0.5350592732429504,ALBERT
0.4,0.514259934425354,ALBERT
0.5,0.5290048122406006,ALBERT
